date,open,high,low,close,volume
12/23/2013,613.0599976,680.9099731,611.039978,673.4099731,0
12/24/2013,672.3599854,684.3900146,645.710022,665.5800171,0
12/25/2013,666.3099976,682.7000122,649.4799805,682.210022,0
12/26/2013,683.9400024,777.75,683.9400024,761.9799805,0
12/27/2013,763.2800293,777.5100098,713.5999756,735.0700073,46862700
12/28/2013,737.9799805,747.0599976,705.3499756,727.8300171,32505800
12/29/2013,728.0499878,748.6099854,714.4400024,745.0499878,19011300
12/30/2013,741.3499756,766.5999756,740.2399902,756.1300049,20707700
12/31/2013,760.3200073,760.5800171,738.1699829,754.0100098,20897300
1/1/2014,754.9699707,775.3499756,754.9699707,771.4000244,22489400
1/2/2014,773.4400024,820.3099976,767.210022,802.3900146,38489500
1/3/2014,802.8499756,834.1500244,789.1199951,818.7199707,37810100
1/4/2014,823.2700195,859.5100098,801.6699829,859.5100098,38005000
1/5/2014,858.5499878,952.4000244,854.5200195,933.5300293,72898496
1/6/2014,936.0499878,1017.119995,905.710022,953.289978,85565696
1/7/2014,946.4899902,965.7399902,802,802,81311696
1/8/2014,795.9899902,870.6799927,776.1799927,842.7199707,74175600
1/9/2014,841.4699707,864.3599854,804.1400146,846.8599854,59998600
1/10/2014,846.6900024,871.1900024,822.5999756,868.4799805,31876800
1/11/2014,867.3200073,921.4799805,861.7199707,913.9500122,44754200
1/12/2014,919.5999756,928.5200195,851.1699829,863.2199707,39623500
1/13/2014,860.1900024,861.289978,806.0499878,841.2000122,45580900
1/14/2014,843.1699829,855.6900024,825.6599731,833.2700195,20829800
1/15/2014,833.1199951,872.8099976,830.8599854,860.9000244,28107200
1/16/2014,860.289978,866.1599731,835.6300049,835.6300049,19149300
1/17/2014,834.4899902,842.9099731,797.6300049,814.6400146,39031700
1/18/2014,816.0700073,841.4899902,816.0700073,840,18052700
1/19/2014,839.6599731,870.960022,825.5300293,870.960022,24365700
1/20/2014,871.3900146,886.3900146,853.8699951,870.2000122,27652700
1/21/2014,869.6500244,881.2000122,855.9299927,863.9099731,18997300
1/22/2014,867.210022,870.1500244,837.3599854,845.5900269,18453700
1/23/2014,845.460022,851.5700073,819.3200073,822.039978,15607100
1/24/2014,822.4299927,822.4299927,783.5800171,797.0700073,34912000
1/25/2014,796.2399902,861.4500122,792.960022,853.6099854,24303900
1/26/2014,853.6799927,897.0200195,844.8599854,885.2800293,32224300
